terms_combined_str,BiomarkKi-67,BiomarkesMSI1,BiomarkBraf,BiomarkKRAS,BiomarkNRAS,BiomarkesEGFR,BiomarkesALK,BiomarkesROS1,BiomarkesBRCA1_BRCA2,BiomarkHer,BiomarkesPD-L1,BiomarkProgesterone,Biomarkestrogen
{'Endometrial Neoplasms': ['Lymphatic Metastasis']},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Endometrial Neoplasms': []},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Epilepsy': []},0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Epstein-Barr Virus Infections': ['Lymphoma', 'Lymphoproliferative Disorders']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Esophageal Neoplasms': ['Esophageal Squamous Cell Carcinoma']},0,0,0,0,0,0,0,0,0,0,1,0,0
{'Esophageal Neoplasms': []},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Esophageal Squamous Cell Carcinoma': []},0,0,1,0,0,1,1,1,0,0,1,0,0
{'Gastrointestinal Stromal Tumors': []},0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Glioblastoma': ['Glioma', 'Astrocytoma', 'Neurofibromatoses', 'Neurofibromatosis 1']}",0,0,1,0,0,0,0,0,0,0,0,0,0
{'Glioblastoma': []},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Head and Neck Neoplasms': []},0,0,0,0,0,1,0,0,0,0,0,0,0
"{'Hemangioma': ['Arteriovenous Malformations', 'Congenital Abnormalities']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Hematologic Neoplasms': ['Graft vs Host Disease']},0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Hematologic Neoplasms': ['Mucositis', 'Stomatitis', 'Xerostomia']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Hematologic Neoplasms': []},0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Infections': ['Communicable Diseases', 'Papillomavirus Infections', 'Squamous Cell Carcinoma of Head and Neck']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Infections': ['Communicable Diseases', 'Papillomavirus Infections', 'Uterine Cervical Neoplasms']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Kidney Neoplasms': ['Carcinoma, Renal Cell']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Leukemia': ['Leukemia, Lymphoid', 'Leukemia, Lymphocytic, Chronic, B-Cell']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Leukemia': ['Leukemia, Myeloid', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Leukemia': ['Precursor Cell Lymphoblastic Leukemia-Lymphoma', 'Leukemia, Lymphoid', 'Philadelphia Chromosome']}",0,0,0,0,0,1,0,0,0,0,0,0,0
"{'Leukemia': ['Precursor Cell Lymphoblastic Leukemia-Lymphoma', 'Leukemia, Lymphoid']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Lung Neoplasms': ['Carcinoma, Non-Small-Cell Lung', 'Ovarian Neoplasms', 'Carcinoma, Ovarian Epithelial', 'Thrombocytopenia']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Lung Neoplasms': ['Carcinoma, Non-Small-Cell Lung']}",0,0,5,2,0,21,15,7,0,2,11,0,0
{'Lung Neoplasms': ['Small Cell Lung Carcinoma']},0,0,0,0,0,2,0,0,0,0,1,0,0
{'Lung Neoplasms': []},0,0,0,1,0,1,1,0,0,0,1,0,0
"{'Lymphoma': ['Hodgkin Disease', 'Cardiovascular Diseases']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Lymphoma': ['Hodgkin Disease']},0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Lymphoma': ['Leukemia', 'Leukemia, Lymphoid', 'Leukemia, Lymphocytic, Chronic, B-Cell', 'Leukemia, B-Cell']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Lymphoma': ['Leukemia', 'Leukemia, Lymphoid', 'Leukemia, Lymphocytic, Chronic, B-Cell']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Lymphoma': ['Leukemia', 'Lymphoma, Non-Hodgkin', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma']}",0,0,0,0,0,1,0,0,0,0,0,0,0
"{'Lymphoma': ['Leukemia', 'Neoplasms', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma', 'Leukemia, Lymphoid']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Lymphoma': ['Leukemia, Lymphocytic, Chronic, B-Cell', 'Lymphoma, Mantle-Cell']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Lymphoma': ['Lymphoma, B-Cell', 'Lymphoma, Large B-Cell, Diffuse']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Lymphoma': ['Lymphoma, B-Cell, Marginal Zone']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Lymphoma': ['Lymphoma, Follicular']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Lymphoma': ['Lymphoma, Mantle-Cell']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Lymphoma': ['Lymphoma, Non-Hodgkin', 'Lymphoma, B-Cell']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Lymphoma': ['Lymphoma, Non-Hodgkin']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Lymphoma': ['Multiple Myeloma', 'Leukemia, Lymphocytic, Chronic, B-Cell', 'Lymphoma, Mantle-Cell', 'Lymphoma, Large B-Cell, Diffuse']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Lymphoma': ['Neoplasms', 'Melanoma', 'Microsatellite Instability']}",0,0,0,0,0,0,0,0,0,0,1,0,0
"{'Melanoma': ['Neoplasm Metastasis', 'Brain Neoplasms']}",0,0,1,0,0,0,1,0,0,0,1,0,0
{'Melanoma': []},0,0,2,0,0,0,0,0,0,0,1,0,0
"{'Mesothelioma': ['Mesothelioma, Malignant']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Mouth Neoplasms': ['Head and Neck Neoplasms', 'Mucositis', 'Stomatitis']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Mucositis': ['Stomatitis']},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Mucositis': ['Xerostomia']},0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Multiple Myeloma': ['Neoplasms, Plasma Cell']}",0,0,0,0,0,1,0,0,0,0,1,0,0
{'Myasthenia Gravis': ['Muscle Weakness']},0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Neoplasm Metastasis': ['Liver Neoplasms', 'Neuroendocrine Tumors', 'Intestinal Neoplasms', 'Pancreatic Neoplasms']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Neoplasm Metastasis': ['Sarcoma']},0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Neoplasm Metastasis': ['Thyroid Neoplasms', 'Lymphatic Metastasis', 'Thyroid Diseases']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Neoplasm Metastasis': []},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Neoplasms': ['Colonic Neoplasms']},0,1,0,0,0,0,0,0,0,0,0,0,0
{'Neoplasms': ['Colorectal Neoplasms']},0,1,1,0,0,0,0,0,0,0,0,0,0
"{'Neoplasms': ['Delirium', 'Recurrence']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Neoplasms': ['Esophageal Neoplasms', 'Deglutition Disorders']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Neoplasms': ['Esophageal Neoplasms']},0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Neoplasms': ['Fallopian Tube Neoplasms', 'Ovarian Neoplasms', 'Peritoneal Neoplasms']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Neoplasms': ['Leukemia, Lymphocytic, Chronic, B-Cell', 'Hematologic Neoplasms', 'Waldenstrom Macroglobulinemia']}",0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Neoplasms': ['Neoplasm Metastasis', 'Breast Neoplasms']}",0,0,0,0,0,0,0,0,0,1,0,0,0
"{'Neoplasms': ['Neuroendocrine Tumors', 'Carcinoid Tumor', 'Intestinal Neoplasms', 'Pancreatic Neoplasms']}",1,0,0,0,0,0,1,0,0,0,0,0,0
"{'Neoplasms': ['Trophoblastic Neoplasms', 'Gestational Trophoblastic Disease', 'Hydatidiform Mole']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Neoplasms': ['Uterine Cervical Dysplasia']},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Neoplasms': []},0,1,2,0,0,2,2,1,0,0,3,0,0
"{'Osteosarcoma': ['Mucositis', 'Stomatitis']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Papillomavirus Infections': ['Uterine Cervical Neoplasms']},0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Polycythemia Vera': ['Primary Myelofibrosis', 'Polycythemia', 'Thrombocytosis', 'Thrombocythemia, Essential']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Postoperative Complications': ['Postoperative Nausea and Vomiting']},0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Preleukemia': ['Anemia', 'Myelodysplastic Syndromes', 'Syndrome']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Primary Myelofibrosis': []},0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Primary Ovarian Insufficiency': ['Menopause, Premature']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Prostatic Neoplasms': ['Adenocarcinoma']},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Prostatic Neoplasms': ['Cardiovascular Diseases']},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Prostatic Neoplasms': ['Erectile Dysfunction']},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Prostatic Neoplasms': ['Hypersensitivity']},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Prostatic Neoplasms': []},0,0,0,0,0,1,1,0,0,0,0,0,2
{'Rectal Neoplasms': []},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Sarcoma': []},0,0,0,0,0,0,0,0,0,0,0,0,0
"{'Sarcoma, Kaposi': ['Sarcoma']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Squamous Cell Carcinoma of Head and Neck': []},0,1,1,0,0,1,0,0,0,0,1,0,0
"{'Stomach Neoplasms': ['Carcinoma', 'Peritoneal Neoplasms']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'Stomach Neoplasms': []},0,0,0,0,0,0,0,0,0,1,0,0,0
{'Thromboembolism': ['Venous Thromboembolism']},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Thyroid Diseases': []},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Thyroid Neoplasms': ['Thyroid Diseases']},0,0,1,0,0,1,0,0,0,0,0,0,0
{'Thyroid Nodule': ['Thyroid Diseases']},0,0,0,0,0,0,0,0,0,0,0,0,0
{'Urinary Bladder Neoplasms': ['Non-Muscle Invasive Bladder Neoplasms']},0,0,0,0,0,0,0,0,0,0,1,0,0
{'Urinary Bladder Neoplasms': []},0,0,0,0,0,0,0,0,0,0,2,0,0
{'Uterine Cervical Neoplasms': []},0,0,0,0,0,0,1,0,0,0,1,0,0
"{'Ventricular Dysfunction': ['Ventricular Dysfunction, Left']}",0,0,0,0,0,0,0,0,0,1,0,0,0
"{'Virus Diseases': ['Neoplasms', 'Hematologic Neoplasms', 'Graft vs Host Disease']}",0,0,0,0,0,0,0,0,0,0,0,0,0
{'não tem': []},0,1,0,0,0,3,1,0,1,0,2,0,0
